id,num,raw_text,text,level,level4
22,291385199,1服务态度还可以 打电话过去很热情，很客气讲，问的很清楚，处理事情也还好 2速度还可以 打电话过去叫人过来也很快过来,1服务态度还可以 打电话过去很热情，很客气讲，问的很清楚，处理事情也还好 ,坐席服务态度好（接线员和回访专员）,15
23,291385199,1服务态度还可以 打电话过去很热情，很客气讲，问的很清楚，处理事情也还好 2速度还可以 打电话过去叫人过来也很快过来,2速度还可以 打电话过去叫人过来也很快过来,操作人员业务响应时间快,16
24,291385204,"一`朋友介绍的,自己也介绍了亲戚朋友买,是第一年入平安保险还没有过什么体验","一`朋友介绍的,自己也介绍了亲戚朋友买,是第一年入平安保险还没有过什么体验",朋友推荐的,17
25,291385211,"各方面都还好,出险速度都可以,在前年客户在外地出险,报案后大概五分钟过后服务人员就过来了 服务好,客户买保险的时候是通过电话来买的","出险速度都可以,在前年客户在外地出险,报案后大概五分钟过后服务人员就过来了",业务等待时间短/到现场快,3
26,291385211,"各方面都还好,出险速度都可以,在前年客户在外地出险,报案后大概五分钟过后服务人员就过来了 服务好,客户买保险的时候是通过电话来买的","服务好,客户买保险的时候是通过电话来买的",投保/续保方便（电话/上门办理/渠道多/手续简单）,14
27,291385211,"各方面都还好,出险速度都可以,在前年客户在外地出险,报案后大概五分钟过后服务人员就过来了 服务好,客户买保险的时候是通过电话来买的",各方面都还好,都好/都满意/差不多,5
28,291385231,一.还没接触过没有特别服务,一.还没接触过没有特别服务,无明确原因/没有,4
29,291385232,"今年买,没有享受的服务不是太多,没有太多的想法","今年买,没有享受的服务不是太多,没有太多的想法",无明确原因/没有,4
30,291385235,电话回访，每次都会打电话给我回访。服务还是不错的，几乎是每年都会来电话推荐,电话回访，每次都会打电话给我回访。服务还是不错的，几乎是每年都会来电话推荐,购买后有回访/信息/及时回访,18
31,291385238,一`服务挺好 1`出险理赔这一块,一`服务挺好 1`出险理赔这一块,理赔整体服务好,0
32,291385247,1、理赔快：上次出险，头天修车了，第二天理赔款就到了。 2、服务周到：24小时提供车抛锚了，救援服务,1、理赔快：上次出险，头天修车了,理赔整体时长合理,2
33,291385247,1、理赔快：上次出险，头天修车了，第二天理赔款就到了。 2、服务周到：24小时提供车抛锚了，救援服务,第二天理赔款就到了,工时标准合理充分（赔付快/理赔到账快）,8
34,291385247,1、理赔快：上次出险，头天修车了，第二天理赔款就到了。 2、服务周到：24小时提供车抛锚了，救援服务,2、服务周到：24小时提供车抛锚了，救援服务,业务等待时间短/救援及时,19
35,291385255,一开始就买了平安的车险，服务态度好。对于买的交强险怎么理赔介绍很清楚。,一开始就买了平安的车险，服务态度好,销售人员服务态度好（热情/耐心/积极/坚持）,1
36,291385255,一开始就买了平安的车险，服务态度好。对于买的交强险怎么理赔介绍很清楚。,对于买的交强险怎么理赔介绍很清楚。,销售人员业务熟练（介绍的详细）,20
37,291385256,服务：续保方面 理赔速度快,服务：续保方面 理赔速度快,理赔整体时长合理,2
38,291385264,"理赔快,出险后现场人员来得很快,很快能到账 免费拖车,服务方面,时间准时",理赔快,理赔整体时长合理,2
39,291385264,"理赔快,出险后现场人员来得很快,很快能到账 免费拖车,服务方面,时间准时",出险后现场人员来得很快,业务等待时间短/到现场快,3
40,291385264,"理赔快,出险后现场人员来得很快,很快能到账 免费拖车,服务方面,时间准时",很快能到账,工时标准合理充分（赔付快/理赔到账快）,8
41,291385264,"理赔快,出险后现场人员来得很快,很快能到账 免费拖车,服务方面,时间准时",免费拖车,产品好/不错/有优势/满足客户需求,21
42,291385264,"理赔快,出险后现场人员来得很快,很快能到账 免费拖车,服务方面,时间准时","服务方面,时间准时",响应时效快/随叫随到,22
43,291385351,刚刚接触平安保险，不怎么了解，理赔比较快，出险之后公司会及时处理。,刚刚接触平安保险，不怎么了解，理赔比较快，出险之后公司会及时处理。,理赔整体时长合理,2
44,291385360,客户表示都可以，客户称也不很清楚，就是感觉还可以,客户表示都可以，客户称也不很清楚，就是感觉还可以,都好/都满意/差不多,5
45,291385362,一般购买都是平安 ，其他的也说不上来 口碑还不错,一般购买都是平安 ，其他的也说不上来 口碑还不错,信誉/口碑好/信任公司/一直买平安,23
46,291385390,一、理赔比较好，速度快，操作得很好；一出事打话就到，与修理厂联系及时，到修理厂后服务、维修都比较好，（总体指维修方面，无法在具体说明了），没有其他了,一、理赔比较好，速度快，操作得很好,理赔整体时长合理,2
47,291385390,一、理赔比较好，速度快，操作得很好；一出事打话就到，与修理厂联系及时，到修理厂后服务、维修都比较好，（总体指维修方面，无法在具体说明了），没有其他了,一出事打话就到，与修理厂联系及时，到修理厂后服务、维修都比较好，（总体指维修方面，无法在具体说明了），没有其他了,查勘员业务响应时间快,24
48,291385396,客户称服务好，费用方面不会乱推荐，服务态度好，保险赔付及时，报了保险之后，工作人员第一时间赶到现场。,客户称服务好，费用方面不会乱推荐，服务态度好,销售人员服务态度好（热情/耐心/积极/坚持）,1
49,291385396,客户称服务好，费用方面不会乱推荐，服务态度好，保险赔付及时，报了保险之后，工作人员第一时间赶到现场。,保险赔付及时,工时标准合理充分（赔付快/理赔到账快）,8
50,291385396,客户称服务好，费用方面不会乱推荐，服务态度好，保险赔付及时，报了保险之后，工作人员第一时间赶到现场。,报了保险之后，工作人员第一时间赶到现场。,业务等待时间短/到现场快,3
51,291385401,前面车一直买的平安的，觉得挺好的，都是买平保：第一个车买的平保，一直就用下去。,前面车一直买的平安的，觉得挺好的，都是买平保：第一个车买的平保，一直就用下去。,信誉/口碑好/信任公司/一直买平安,23
52,291385413,1、客户称反映时间和速度可以：有什么问题打了电话，不用多久就会来现场看，很积极的帮忙处理问题，不会像其他保险公司要3、4个小时才来处理。 2、服务也还可以：不论是电话服务，和营业厅的服务人员都可以，电话上会介绍，会发明细给客户看，去营业厅也会具体给客户介绍去那个窗口办理,1、客户称反映时间和速度可以：有什么问题打了电话，不用多久就会来现场看，很积极的帮忙处理问题，不会像其他保险公司要3、4个小时才来处理。,业务等待时间短/到现场快,3
53,291385413,1、客户称反映时间和速度可以：有什么问题打了电话，不用多久就会来现场看，很积极的帮忙处理问题，不会像其他保险公司要3、4个小时才来处理。 2、服务也还可以：不论是电话服务，和营业厅的服务人员都可以，电话上会介绍，会发明细给客户看，去营业厅也会具体给客户介绍去那个窗口办理, 2、服务也还可以：不论是电话服务，和营业厅的服务人员都可以，电话上会介绍，会发明细给客户看，去营业厅也会具体给客户介绍去那个窗口办理,都好/都满意/差不多,5
54,291385427,1、客户觉得处理速度挺快：比如车没电了，有应急的服务还不错，第三方有一些维修公司去联系维护，比较快一些，提供维修挺快的。 1、促销做得还挺好、挺多的：提供的一些优惠政策、提供一些比较实用的礼品,提供一些比较实用的礼品,礼品实用/好,25
55,291385427,1、客户觉得处理速度挺快：比如车没电了，有应急的服务还不错，第三方有一些维修公司去联系维护，比较快一些，提供维修挺快的。 1、促销做得还挺好、挺多的：提供的一些优惠政策、提供一些比较实用的礼品,1、客户觉得处理速度挺快：比如车没电了，有应急的服务还不错，第三方有一些维修公司去联系维护，比较快一些，提供维修挺快的。,问题反馈/响应/解答及时、快,26
56,291385427,1、客户觉得处理速度挺快：比如车没电了，有应急的服务还不错，第三方有一些维修公司去联系维护，比较快一些，提供维修挺快的。 1、促销做得还挺好、挺多的：提供的一些优惠政策、提供一些比较实用的礼品,促销做得还挺好、挺多的：提供的一些优惠政策,销售优惠力度,27
57,291385438,都不错，定损救急，网络比较好，免费施救的承诺很好，赔付及时，很快,都不错，定损救急，网络比较好，免费施救的承诺很好,都好/都满意/差不多,5
58,291385438,都不错，定损救急，网络比较好，免费施救的承诺很好，赔付及时，很快,赔付及时，很快,工时标准合理充分（赔付快/理赔到账快）,8
59,291385440,"客户称整体都可以,都比较方便.","客户称整体都可以,都比较方便.",都好/都满意/差不多,5
60,291385472,"平安转账比较快,理赔那块比较快.",平安转账比较快,工时标准合理充分（赔付快/理赔到账快）,8
61,291385472,"平安转账比较快,理赔那块比较快.",理赔那块比较快,理赔整体时长合理,2
62,291385493,送礼品：工具箱都挺适用的,送礼品：工具箱都挺适用的,礼品实用/好,25
63,291385495,理赔快，,理赔快，,理赔整体时长合理,2
64,291385497,一.那些方面都好 1.理赔很到位 2.保险服务人员来的也快,一.那些方面都好,都好/都满意/差不多,5
65,291385497,一.那些方面都好 1.理赔很到位 2.保险服务人员来的也快,1.理赔很到位,理赔整体时长合理,2
66,291385497,一.那些方面都好 1.理赔很到位 2.保险服务人员来的也快,2.保险服务人员来的也快,业务等待时间短/到现场快,3
67,291385516,没有评价,没有评价,无明确原因/没有,4
68,291385517,理赔方面：理赔速度快和服务态度。,理赔方面：理赔速度快,理赔整体时长合理,2
69,291385517,理赔方面：理赔速度快和服务态度。,理赔方面：服务态度。,理赔人员服务好,28
70,291385525,"理赔方便可以:出险后很到位 其他服务也还算好:没碰到,不知道该说什么","理赔方便可以:出险后很到位 其他服务也还算好:没碰到,不知道该说什么",理赔整体服务好,0
71,291385531,服务跟态度，有人上门服务。,服务跟态度，有人上门服务。,投保/续保方便（电话/上门办理/渠道多/手续简单）,14
72,291385547,什么事情都可以解决，速度快,什么事情都可以解决，速度快,都好/都满意/差不多,5
73,291385586,9分，客户称比如说车辆道路救援，送油还可以。,9分，客户称比如说车辆道路救援，送油还可以。,业务等待时间短/救援及时,19
74,291385595,哪一方面都可以，服务到位，到现场的速度比较快。赔偿率比较高。,哪一方面都可以，服务到位，到现场的速度比较快。赔偿率比较高。,都好/都满意/差不多,5
75,291385599,还行，出现什么事故都会赶到现场处理。,还行，出现什么事故都会赶到现场处理。,业务等待时间短/到现场快,3
76,291385643,1、免现场：不用理赔人员亲自过来，车主可以自己拍照，免去等候时间 2、快速理赔：理赔时间快，前期自己出钱，如果理赔金额到账太长，可能就不会太选择我们公司,1、免现场：不用理赔人员亲自过来，车主可以自己拍照，免去等候时间 ,流程简单/手续简便,29
77,291385643,1、免现场：不用理赔人员亲自过来，车主可以自己拍照，免去等候时间 2、快速理赔：理赔时间快，前期自己出钱，如果理赔金额到账太长，可能就不会太选择我们公司,2、快速理赔：理赔时间快，前期自己出钱，如果理赔金额到账太长，可能就不会太选择我们公司,工时标准合理充分（赔付快/理赔到账快）,8
78,291385655,救援：是朋友推荐的，朋友说晚上三四点抛锚了，来的挺快的,救援：是朋友推荐的,朋友推荐的,17
79,291385655,救援：是朋友推荐的，朋友说晚上三四点抛锚了，来的挺快的,救援：朋友说晚上三四点抛锚了，来的挺快的,业务等待时间短/救援及时,19
80,291385659,"客户称赔付效率高,回访工作和后续工作比较简洁.","客户称赔付效率高,回访工作和后续工作比较简洁.",工时标准合理充分（赔付快/理赔到账快）,8
81,291385676,客户说也没有什么原因，就是觉得挺好的,客户说也没有什么原因，就是觉得挺好的,无明确原因/没有,4
82,291385681,服务好，服务热情，态度好,服务好，服务热情，态度好,服务态度好（未具体说明）,12
83,291385709,1车险出险的人挺快。碰了一下，打电话之后鉴定的人来的挺快。 2异地出险也可以，接到微信用车的知识和保养。,1车险出险的人挺快。碰了一下，打电话之后鉴定的人来的挺快,业务等待时间短/到现场快,3
84,291385709,1车险出险的人挺快。碰了一下，打电话之后鉴定的人来的挺快。 2异地出险也可以，接到微信用车的知识和保养。,2异地出险也可以,产品保障范围广/好/有保障,30
85,291385709,1车险出险的人挺快。碰了一下，打电话之后鉴定的人来的挺快。 2异地出险也可以，接到微信用车的知识和保养。,接到微信用车的知识和保养,活动规则（例最新信息的推送时间、推送频次）,31
86,291385732,两辆车上车险上了四五次了，没有具体深入了解过，感觉还可以，一直做平安,两辆车上车险上了四五次了，没有具体深入了解过，感觉还可以，一直做平安,信誉/口碑好/信任公司/一直买平安,23
87,291385734,一`售后服务还可以 1`一喊人就到,一`售后服务还可以 1`一喊人就到,响应时效快/随叫随到,22
88,291385734,一`售后服务还可以 1`一喊人就到,一`售后服务还可以 1`一喊人就到,销售人员售后跟踪服务好/到位,32
89,291385735,客户都很好：服务好、各方面服务都可以都很好,客户都很好：服务好、各方面服务都可以都很好,都好/都满意/差不多,5
90,291385742,服务态度比较好。前台服务好。对顾客比较热情，办理时速度比较快。现在还没有出过险。比较喜欢平安的名字。,比较喜欢平安的名字。,公司名称好/公司logo好,33
91,291385742,服务态度比较好。前台服务好。对顾客比较热情，办理时速度比较快。现在还没有出过险。比较喜欢平安的名字。,服务态度比较好。前台服务好。对顾客比较热情,销售人员服务态度好（热情/耐心/积极/坚持）,1
92,291385742,服务态度比较好。前台服务好。对顾客比较热情，办理时速度比较快。现在还没有出过险。比较喜欢平安的名字。,前台办理时速度比较快。现在还没有出过险。,销售人员业务处理时间快/及时,34
93,291385744,客户称就是报保险时及时来挺快的， 态度可以，个方面都可以，一般都挺快的，等的时间比较短。,客户称就是报保险时及时来挺快的， 一般都挺快的，等的时间比较短。,业务等待时间短/到现场快,3
94,291385744,客户称就是报保险时及时来挺快的， 态度可以，个方面都可以，一般都挺快的，等的时间比较短。,态度可以，个方面都可以,查勘员服务态度好,35
95,291385757,比较方便：就像电话险，打电话就直接办理了。业务比较快：打电话报这项业务，保人身保险，我也没保。服务态度比较好：保险完之后还打电话问一问，票子有没有送到。,比较方便：就像电话险，打电话就直接办理了。,投保/续保方便（电话/上门办理/渠道多/手续简单）,14
96,291385757,比较方便：就像电话险，打电话就直接办理了。业务比较快：打电话报这项业务，保人身保险，我也没保。服务态度比较好：保险完之后还打电话问一问，票子有没有送到。,业务比较快：打电话报这项业务，保人身保险，我也没保。,销售人员业务处理时间快/及时,34
97,291385757,比较方便：就像电话险，打电话就直接办理了。业务比较快：打电话报这项业务，保人身保险，我也没保。服务态度比较好：保险完之后还打电话问一问，票子有没有送到。,服务态度比较好：保险完之后还打电话问一问，票子有没有送到。,销售人员售后跟踪服务好/到位,32
98,291385769,一、客户是电话车险，中间有矛盾的时候，公司都会很诚恳的道歉；及时说明原因，进行沟通 二、理赔也很快；打电话一会儿就办理了,一、客户是电话车险，中间有矛盾的时候，公司都会很诚恳的道歉；及时说明原因，进行沟通 ,坐席服务态度好（接线员和回访专员）,15
99,291385769,一、客户是电话车险，中间有矛盾的时候，公司都会很诚恳的道歉；及时说明原因，进行沟通 二、理赔也很快；打电话一会儿就办理了,理赔也很快；打电话一会儿就办理了,理赔整体时长合理,2
100,291385775,一、出险只有几百块钱还非得开去公司定损，工作人员都不愿意来，广告做得好，服务不怎么样。,一、出险只有几百块钱还非得开去公司定损，工作人员都不愿意来，广告做得好，服务不怎么样。,代言人/广告做得好/宣传力度大,36
101,291385783,各方面都可以,各方面都可以,都好/都满意/差不多,5
102,291385789,自己开车，没什么事故经过保险公司处理好。通过朋友觉得平安车险好，处理的快，比如朋友的车有什么问题，通过保险公司能很快的处理了。,自己开车，没什么事故经过保险公司处理好。通过朋友觉得平安车险好，处理的快，比如朋友的车有什么问题，通过保险公司能很快的处理了。,朋友推荐的,17
103,291385793,各项服务好，出险赔偿快，各方面都满意,各项服务好，出险赔偿快,理赔整体时长合理,2
104,291385793,各项服务好，出险赔偿快，各方面都满意,各方面都满意,都好/都满意/差不多,5
105,291385816,1.客户称两次出险都赔付了，都挺好的。2.服务也很好，赔付和现场出险比较好,1.客户称两次出险都赔付了，都挺好的，赔付比较好,责任认定标准合理充分,37
106,291385816,1.客户称两次出险都赔付了，都挺好的。2.服务也很好，赔付和现场出险比较好,2.服务也很好,服务态度好（未具体说明）,12
107,291385816,1.客户称两次出险都赔付了，都挺好的。2.服务也很好，赔付和现场出险比较好,现场出险比较好,业务等待时间短/到现场快,3
108,291385821,一`出险比较快 1`联系顺畅,一`出险比较快 1`联系顺畅,业务等待时间短/到现场快,3
109,291385830,服务人员的态度挺好，有事情会提前给客户说,服务人员的态度挺好,服务态度好（未具体说明）,12
110,291385830,服务人员的态度挺好，有事情会提前给客户说,有事情会提前给客户说,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,6
111,291385857,大公司，服务也比较好,大公司,规模/大公司，有实力（涉及领域广）,38
112,291385857,大公司，服务也比较好,服务也比较好,服务态度好（未具体说明）,12
113,291385866,1、投保比较方便，送单子上门，只打电话体验过,1、投保比较方便，送单子上门，只打电话体验过,投保/续保方便（电话/上门办理/渠道多/手续简单）,14
114,291427533,售后服务还可以：之前买车险的时候有礼品，拿三维短信去拿，事后服务人员打过几个电话确认是否有去领,售后服务还可以：之前买车险的时候有礼品，拿三维短信去拿,礼品实用/好,25
115,291427533,售后服务还可以：之前买车险的时候有礼品，拿三维短信去拿，事后服务人员打过几个电话确认是否有去领,事后服务人员打过几个电话确认是否有去领,销售人员售后跟踪服务好/到位,32
116,291431540,服务比较好，简单明了。公司使用的是同一个号，同一个服务人员，感觉很舒服，沟通也很方便,服务比较好，简单明了。公司使用的是同一个号，同一个服务人员，感觉很舒服，沟通也很方便,服务态度好（未具体说明）,12
117,291450612,理赔的速度比较快：从打电话报案到现速度比较满意 服务人员挺好：比较热情，比较方便,理赔的速度比较快,工时标准合理充分（赔付快/理赔到账快）,8
118,291450612,理赔的速度比较快：从打电话报案到现速度比较满意 服务人员挺好：比较热情，比较方便,从打电话报案到现速度比较满意,业务等待时间短/到现场快,3
119,291450612,理赔的速度比较快：从打电话报案到现速度比较满意 服务人员挺好：比较热情，比较方便,服务人员挺好：比较热情，比较方便,服务态度好（未具体说明）,12
120,291630089,客户称还说可以，1、服务态度可以：有事情给公司打电话，来的快 2、售后可以，赔款快,客户称还说可以，1、服务态度可以：有事情给公司打电话，来的快,业务等待时间短/到现场快,3
121,291630089,客户称还说可以，1、服务态度可以：有事情给公司打电话，来的快 2、售后可以，赔款快,1、售后可以,销售人员售后跟踪服务好/到位,32
122,291630089,客户称还说可以，1、服务态度可以：有事情给公司打电话，来的快 2、售后可以，赔款快,赔款快,工时标准合理充分（赔付快/理赔到账快）,8
123,291631474,客户表示服务比较好，买过保险后，各项服务都比较好：各方面都比较好，之前买过车险，碰过一次，客户描述不出具体的了,客户表示服务比较好，买过保险后，各项服务都比较好：各方面都比较好，之前买过车险，碰过一次，客户描述不出具体的了,服务态度好（未具体说明）,12
124,291634171,1服务挺好 介绍各方面买保险，怎么赔偿理赔 2产品介绍很不错,1服务挺好,服务态度好（未具体说明）,12
125,291634171,1服务挺好 介绍各方面买保险，怎么赔偿理赔 2产品介绍很不错,介绍各方面买保险，怎么赔偿理赔 2产品介绍很不错,销售人员业务熟练（介绍的详细）,20
126,291636543,没有使用过不知道,没有使用过不知道,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,13
127,291636554,服务好，都还可以,服务好，都还可以,服务态度好（未具体说明）,12
128,291636558,每方面都很好，理赔比较快,每方面都很好,都好/都满意/差不多,5
129,291636558,每方面都很好，理赔比较快,理赔比较快,理赔整体时长合理,2
130,291636569,"信任平安:平时客服做得比较到位,公司蛮大,信誉度好",信任平安:信誉度好,信誉/口碑好/信任公司/一直买平安,23
131,291636569,"信任平安:平时客服做得比较到位,公司蛮大,信誉度好",平时客服做得比较到位,销售人员服务态度好（热情/耐心/积极/坚持）,1
132,291636569,"信任平安:平时客服做得比较到位,公司蛮大,信誉度好",公司蛮大,规模/大公司，有实力（涉及领域广）,38
133,291636570,口碑和服务接待服务，介绍产品方面。信誉度高，出险及时。,口碑，信誉度高,信誉/口碑好/信任公司/一直买平安,23
134,291636570,口碑和服务接待服务，介绍产品方面。信誉度高，出险及时。,服务接待服务,销售人员服务态度好（热情/耐心/积极/坚持）,1
135,291636570,口碑和服务接待服务，介绍产品方面。信誉度高，出险及时。,介绍产品方面,销售人员业务熟练（介绍的详细）,20
136,291636570,口碑和服务接待服务，介绍产品方面。信誉度高，出险及时。,出险及时,查勘员业务响应时间快,24
137,291636573,"服务比较好,理赔服务得比较好 信任度100%,平安公司很大,是说一不二的 各方面都可以,入了保险后各方面都很好","服务比较好,理赔服务得比较好",理赔整体服务好,0
138,291636573,"服务比较好,理赔服务得比较好 信任度100%,平安公司很大,是说一不二的 各方面都可以,入了保险后各方面都很好",信任度100%,信誉/口碑好/信任公司/一直买平安,23
139,291636573,"服务比较好,理赔服务得比较好 信任度100%,平安公司很大,是说一不二的 各方面都可以,入了保险后各方面都很好","平安公司很大,是说一不二的",规模/大公司，有实力（涉及领域广）,38
140,291636573,"服务比较好,理赔服务得比较好 信任度100%,平安公司很大,是说一不二的 各方面都可以,入了保险后各方面都很好","各方面都可以,入了保险后各方面都很好",都好/都满意/差不多,5
141,291636574,还可以，如果出险一打电话很快就有人来,还可以，如果出险一打电话很快就有人来,业务等待时间短/到现场快,3
142,291636582,1报保险挺好，挺快的，我的车不是出险了吗，报车险挺快的，定损以后，报车险挺快的，出事故了，定损定挺好的，定损后，修完了保险报的也挺快的 2平安保险的给我打电话说我车险还没报呢，让我快报，说实话挺满意的。,1报保险挺好，挺快的，我的车不是出险了吗，报车险挺快的，定损后，修完了保险报的也挺快的 ,理赔整体时长合理,2
143,291636582,1报保险挺好，挺快的，我的车不是出险了吗，报车险挺快的，定损以后，报车险挺快的，出事故了，定损定挺好的，定损后，修完了保险报的也挺快的 2平安保险的给我打电话说我车险还没报呢，让我快报，说实话挺满意的。,出事故了，定损定挺好的,定损员业务熟练,39
144,291636582,1报保险挺好，挺快的，我的车不是出险了吗，报车险挺快的，定损以后，报车险挺快的，出事故了，定损定挺好的，定损后，修完了保险报的也挺快的 2平安保险的给我打电话说我车险还没报呢，让我快报，说实话挺满意的。,2平安保险的给我打电话说我车险还没报呢，让我快报，说实话挺满意的。,销售人员售后跟踪服务好/到位,32
145,291637345,客户称赔付比较快捷，出险以后各方面的服务比较到位。,客户称赔付比较快捷,工时标准合理充分（赔付快/理赔到账快）,8
146,291637345,客户称赔付比较快捷，出险以后各方面的服务比较到位。,出险以后各方面的服务比较到位。,服务态度好（未具体说明）,12
147,291637349,不太清楚。都说平安好，那就好。我这也是亲戚推荐的,不太清楚。,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,13
148,291637349,不太清楚。都说平安好，那就好。我这也是亲戚推荐的,都说平安好，那就好,信誉/口碑好/信任公司/一直买平安,23
149,291637349,不太清楚。都说平安好，那就好。我这也是亲戚推荐的,我这也是亲戚推荐的,朋友推荐的,17
150,291637351,有时候有点小事故，他会在一个月或半个月或两个月也回访一下，进行的怎么样，有没有处理，定情怎么样。保险到期，续保会送小礼品。 买保险最好全额买，有时候不想全额买，有时候开公司的，单位的，驾驶员的人身险也要客户买，也可以报销，也可以索赔的，这种保险用不着保的，也给客户保了。很少出事，没怎么服务过，就服务过一次。,有时候有点小事故，他会在一个月或半个月或两个月也回访一下，进行的怎么样，有没有处理，定情怎么样,购买后有回访/信息/及时回访,18
151,291637351,有时候有点小事故，他会在一个月或半个月或两个月也回访一下，进行的怎么样，有没有处理，定情怎么样。保险到期，续保会送小礼品。 买保险最好全额买，有时候不想全额买，有时候开公司的，单位的，驾驶员的人身险也要客户买，也可以报销，也可以索赔的，这种保险用不着保的，也给客户保了。很少出事，没怎么服务过，就服务过一次。,保险到期，续保会送小礼品,有礼品赠送,40
152,291637351,有时候有点小事故，他会在一个月或半个月或两个月也回访一下，进行的怎么样，有没有处理，定情怎么样。保险到期，续保会送小礼品。 买保险最好全额买，有时候不想全额买，有时候开公司的，单位的，驾驶员的人身险也要客户买，也可以报销，也可以索赔的，这种保险用不着保的，也给客户保了。很少出事，没怎么服务过，就服务过一次。,买保险最好全额买，有时候不想全额买，有时候开公司的，单位的，驾驶员的人身险也要客户买，也可以报销，也可以索赔的，这种保险用不着保的，也给客户保了。很少出事，没怎么服务过，就服务过一次。,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,13
153,291637353,每个地方都蛮好的，理赔的比较快，出险了几天钱就打过来了就蛮快的,每个地方都蛮好的,都好/都满意/差不多,5
154,291637353,每个地方都蛮好的，理赔的比较快，出险了几天钱就打过来了就蛮快的,理赔的比较快，出险了几天钱就打过来了就蛮快的,理赔整体时长合理,2
155,291637377,一.理赔速度还可以 1.出险时候打电话马上过来了,一.理赔速度还可以,理赔整体时长合理,2
