,num,text,level,pre_forest,pre_NB,pre_lr,probs_lr
20,291385193,"报过一次险,不是什么大问题,一次险,总的还不错:总感觉还可以,没出过什么大事",都好/都满意/差不多,都好/都满意/差不多,都好/都满意/差不多,都好/都满意/差不多,0.522379442469
21,291385199,1服务态度还可以 打电话过去很热情，很客气讲，问的很清楚，处理事情也还好 ,坐席服务态度好（接线员和回访专员）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,坐席服务态度好（接线员和回访专员）,0.337858770689
22,291385199,2速度还可以 打电话过去叫人过来也很快过来,操作人员业务响应时间快,业务等待时间短/到现场快,业务等待时间短/到现场快,操作人员业务响应时间快,0.586556444543
23,291385204,"一`朋友介绍的,自己也介绍了亲戚朋友买,是第一年入平安保险还没有过什么体验",朋友推荐的,无明确原因/没有,朋友推荐的,朋友推荐的,0.776259486475
24,291385211,"出险速度都可以,在前年客户在外地出险,报案后大概五分钟过后服务人员就过来了",业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.807700279672
25,291385211,"服务好,客户买保险的时候是通过电话来买的",投保/续保方便（电话/上门办理/渠道多/手续简单）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,电销车险做得好（未具体说明）,0.328331155952
26,291385211,各方面都还好,都好/都满意/差不多,都好/都满意/差不多,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.200308624831
27,291385231,一.还没接触过没有特别服务,无明确原因/没有,无明确原因/没有,服务态度好（未具体说明）,服务态度好（未具体说明）,0.204868229096
28,291385232,"今年买,没有享受的服务不是太多,没有太多的想法",无明确原因/没有,无明确原因/没有,无明确原因/没有,无明确原因/没有,0.774510560334
29,291385235,电话回访，每次都会打电话给我回访。服务还是不错的，几乎是每年都会来电话推荐,购买后有回访/信息/及时回访,电话拨打时间规范,坐席服务态度好（接线员和回访专员）,电话拨打时间规范,0.399735200693
30,291385238,一`服务挺好 1`出险理赔这一块,理赔整体服务好,业务等待时间短/到现场快,理赔整体时长合理,理赔整体服务好,0.356314038838
31,291385247,1、理赔快：上次出险，头天修车了,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,无需客户垫付/公司先行垫付,0.141083033468
32,291385247,第二天理赔款就到了,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.329522820636
33,291385247,2、服务周到：24小时提供车抛锚了，救援服务,业务等待时间短/救援及时,业务等待时间短/救援及时,业务等待时间短/救援及时,业务等待时间短/救援及时,0.484007481625
34,291385255,一开始就买了平安的车险，服务态度好,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,0.0761063663637
35,291385255,对于买的交强险怎么理赔介绍很清楚。,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,0.629583049633
36,291385256,服务：续保方面 理赔速度快,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,出单员态度好,0.140051749906
37,291385264,理赔快,理赔整体时长合理,理赔整体时长合理,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,0.133567880156
38,291385264,出险后现场人员来得很快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.715635327447
39,291385264,很快能到账,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.515806320713
40,291385264,免费拖车,产品好/不错/有优势/满足客户需求,申请/服务流程简便,申请/服务流程简便,服务设备先进/好,0.400527701239
41,291385264,"服务方面,时间准时",响应时效快/随叫随到,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.0947010492285
42,291385351,刚刚接触平安保险，不怎么了解，理赔比较快，出险之后公司会及时处理。,理赔整体时长合理,业务等待时间短/到现场快,理赔整体时长合理,查勘员业务响应时间快,0.147646908645
43,291385360,客户表示都可以，客户称也不很清楚，就是感觉还可以,都好/都满意/差不多,销售人员业务熟练（介绍的详细）,服务态度好（未具体说明）,都好/都满意/差不多,0.635275972158
44,291385362,一般购买都是平安 ，其他的也说不上来 口碑还不错,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,0.707851318331
45,291385390,一、理赔比较好，速度快，操作得很好,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,0.277361241434
46,291385390,一出事打话就到，与修理厂联系及时，到修理厂后服务、维修都比较好，（总体指维修方面，无法在具体说明了），没有其他了,查勘员业务响应时间快,无明确原因/没有,理赔整体时长合理,查勘员业务响应时间快,0.494459583546
47,291385396,客户称服务好，费用方面不会乱推荐，服务态度好,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.273517378944
48,291385396,保险赔付及时,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,标签改为都好/都满意/差不多,0.144032778971
49,291385396,报了保险之后，工作人员第一时间赶到现场。,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.520062830624
50,291385401,前面车一直买的平安的，觉得挺好的，都是买平保：第一个车买的平保，一直就用下去。,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,0.705229109797
51,291385413,1、客户称反映时间和速度可以：有什么问题打了电话，不用多久就会来现场看，很积极的帮忙处理问题，不会像其他保险公司要3、4个小时才来处理。,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,问题反馈/响应/解答及时、快,0.279037342277
52,291385413, 2、服务也还可以：不论是电话服务，和营业厅的服务人员都可以，电话上会介绍，会发明细给客户看，去营业厅也会具体给客户介绍去那个窗口办理,都好/都满意/差不多,销售人员业务熟练（介绍的详细）,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.370865770704
53,291385427,提供一些比较实用的礼品,礼品实用/好,礼品实用/好,礼品实用/好,礼品实用/好,0.575078110691
54,291385427,1、客户觉得处理速度挺快：比如车没电了，有应急的服务还不错，第三方有一些维修公司去联系维护，比较快一些，提供维修挺快的。,问题反馈/响应/解答及时、快,规模/大公司，有实力（涉及领域广）,理赔整体时长合理,问题反馈/响应/解答及时、快,0.794553548633
55,291385427,促销做得还挺好、挺多的：提供的一些优惠政策,销售优惠力度,保费低/价格优惠合理/有优势,保费低/价格优惠合理/有优势,销售优惠力度,0.577825103999
56,291385438,都不错，定损救急，网络比较好，免费施救的承诺很好,都好/都满意/差不多,定损员业务处理时间快,业务等待时间短/救援及时,定损员业务熟练,0.212256421925
57,291385438,赔付及时，很快,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.315205483971
58,291385440,"客户称整体都可以,都比较方便.",都好/都满意/差不多,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,0.117891680566
59,291385472,平安转账比较快,工时标准合理充分（赔付快/理赔到账快）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,0.100011911182
60,291385472,理赔那块比较快,理赔整体时长合理,理赔整体时长合理,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,0.173068952766
61,291385493,送礼品：工具箱都挺适用的,礼品实用/好,礼品实用/好,礼品实用/好,礼品实用/好,0.276494856464
62,291385495,理赔快，,理赔整体时长合理,理赔整体时长合理,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,0.133567880156
63,291385497,一.那些方面都好,都好/都满意/差不多,都好/都满意/差不多,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.0667530852053
64,291385497,1.理赔很到位,理赔整体时长合理,理赔整体时长合理,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,0.121819223728
65,291385497,2.保险服务人员来的也快,业务等待时间短/到现场快,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,0.14826295038
66,291385516,没有评价,无明确原因/没有,无明确原因/没有,无明确原因/没有,无明确原因/没有,0.476039346924
67,291385517,理赔方面：理赔速度快,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,0.532845920843
68,291385517,理赔方面：服务态度。,理赔人员服务好,理赔整体时长合理,理赔整体服务好,理赔整体服务好,0.170788330352
69,291385525,"理赔方便可以:出险后很到位 其他服务也还算好:没碰到,不知道该说什么",理赔整体服务好,理赔整体服务好,理赔整体时长合理,理赔整体服务好,0.397111962685
70,291385531,服务跟态度，有人上门服务。,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,销售人员服务态度好（热情/耐心/积极/坚持）,有送单服务很方便（上门送单/快递送单）/服务好,0.108882465948
71,291385547,什么事情都可以解决，速度快,都好/都满意/差不多,业务等待时间短/到现场快,业务等待时间短/到现场快,有问题都能解决/问题解答清楚/全面（未具体说明）,0.315520474873
72,291385586,9分，客户称比如说车辆道路救援，送油还可以。,业务等待时间短/救援及时,业务等待时间短/救援及时,业务等待时间短/救援及时,业务等待时间短/救援及时,0.384234089013
73,291385595,哪一方面都可以，服务到位，到现场的速度比较快。赔偿率比较高。,都好/都满意/差不多,业务等待时间短/到现场快,理赔整体时长合理,业务等待时间短/到现场快,0.121163450318
74,291385599,还行，出现什么事故都会赶到现场处理。,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,查勘员业务处理时间快,0.282996871955
75,291385643,1、免现场：不用理赔人员亲自过来，车主可以自己拍照，免去等候时间 ,流程简单/手续简便,业务等待时间短/到现场快,流程简单/手续简便,流程简单/手续简便,0.575272532826
76,291385643,2、快速理赔：理赔时间快，前期自己出钱，如果理赔金额到账太长，可能就不会太选择我们公司,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.761503477374
77,291385655,救援：是朋友推荐的,朋友推荐的,业务等待时间短/救援及时,朋友推荐的,朋友推荐的,0.635285793467
78,291385655,救援：朋友说晚上三四点抛锚了，来的挺快的,业务等待时间短/救援及时,业务等待时间短/救援及时,业务等待时间短/救援及时,业务等待时间短/救援及时,0.201940614437
79,291385659,"客户称赔付效率高,回访工作和后续工作比较简洁.",工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.175413490691
80,291385676,客户说也没有什么原因，就是觉得挺好的,无明确原因/没有,无明确原因/没有,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,无明确原因/没有,0.279329060891
81,291385681,服务好，服务热情，态度好,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.276251936723
82,291385709,1车险出险的人挺快。碰了一下，打电话之后鉴定的人来的挺快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.45481526747
83,291385709,2异地出险也可以,产品保障范围广/好/有保障,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.0873433852575
84,291385709,接到微信用车的知识和保养,活动规则（例最新信息的推送时间、推送频次）,无明确原因/没有,有礼品赠送,活动规则（例最新信息的推送时间、推送频次）,0.565439068787
85,291385732,两辆车上车险上了四五次了，没有具体深入了解过，感觉还可以，一直做平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,0.513618479465
86,291385734,一`售后服务还可以 1`一喊人就到,响应时效快/随叫随到,销售人员售后跟踪服务好/到位,服务态度好（未具体说明）,销售人员售后跟踪服务好/到位,0.33359082336
87,291385734,一`售后服务还可以 1`一喊人就到,销售人员售后跟踪服务好/到位,销售人员售后跟踪服务好/到位,服务态度好（未具体说明）,销售人员售后跟踪服务好/到位,0.33359082336
88,291385735,客户都很好：服务好、各方面服务都可以都很好,都好/都满意/差不多,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.43365299114
89,291385742,比较喜欢平安的名字。,公司名称好/公司logo好,公司名称好/公司logo好,规模/大公司，有实力（涉及领域广）,公司名称好/公司logo好,0.690017686891
90,291385742,服务态度比较好。前台服务好。对顾客比较热情,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,0.263969484066
91,291385742,前台办理时速度比较快。现在还没有出过险。,销售人员业务处理时间快/及时,无明确原因/没有,理赔整体时长合理,销售人员业务处理时间快/及时,0.372992026141
92,291385744,客户称就是报保险时及时来挺快的， 一般都挺快的，等的时间比较短。,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,响应时效快/随叫随到,0.205097073837
93,291385744,态度可以，个方面都可以,查勘员服务态度好,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.337138088501
94,291385757,比较方便：就像电话险，打电话就直接办理了。,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,0.53613792714
95,291385757,业务比较快：打电话报这项业务，保人身保险，我也没保。,销售人员业务处理时间快/及时,业务等待时间短/到现场快,销售人员业务处理时间快/及时,销售人员业务处理时间快/及时,0.546926954215
96,291385757,服务态度比较好：保险完之后还打电话问一问，票子有没有送到。,销售人员售后跟踪服务好/到位,销售人员服务态度好（热情/耐心/积极/坚持）,业务等待时间短/到现场快,销售人员售后跟踪服务好/到位,0.380128726125
97,291385769,一、客户是电话车险，中间有矛盾的时候，公司都会很诚恳的道歉；及时说明原因，进行沟通 ,坐席服务态度好（接线员和回访专员）,规模/大公司，有实力（涉及领域广）,坐席服务态度好（接线员和回访专员）,电销车险做得好（未具体说明）,0.165012554407
98,291385769,理赔也很快；打电话一会儿就办理了,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,0.185186276468
99,291385775,一、出险只有几百块钱还非得开去公司定损，工作人员都不愿意来，广告做得好，服务不怎么样。,代言人/广告做得好/宣传力度大,业务等待时间短/到现场快,理赔整体服务好,代言人/广告做得好/宣传力度大,0.691028883043
100,291385783,各方面都可以,都好/都满意/差不多,都好/都满意/差不多,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.247819903478
101,291385789,自己开车，没什么事故经过保险公司处理好。通过朋友觉得平安车险好，处理的快，比如朋友的车有什么问题，通过保险公司能很快的处理了。,朋友推荐的,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,自己家人朋友在平安工作,0.28717573447
102,291385793,各项服务好，出险赔偿快,理赔整体时长合理,业务等待时间短/到现场快,工时标准合理充分（赔付快/理赔到账快）,业务等待时间短/到现场快,0.0749109037089
103,291385793,各方面都满意,都好/都满意/差不多,都好/都满意/差不多,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.228289378921
104,291385816,1.客户称两次出险都赔付了，都挺好的，赔付比较好,责任认定标准合理充分,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,责任认定标准合理充分,0.660196465799
105,291385816,2.服务也很好,服务态度好（未具体说明）,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.0737578248891
106,291385816,现场出险比较好,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.55887784072
107,291385821,一`出险比较快 1`联系顺畅,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,查勘员业务响应时间快,0.269309495378
108,291385830,服务人员的态度挺好,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,理赔人员服务好,0.144795992477
109,291385830,有事情会提前给客户说,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,0.0842971972833
110,291385857,大公司,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,0.271559487799
111,291385857,服务也比较好,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.0732700670137
112,291385866,1、投保比较方便，送单子上门，只打电话体验过,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,0.599917910062
113,291427533,售后服务还可以：之前买车险的时候有礼品，拿三维短信去拿,礼品实用/好,礼品实用/好,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,礼品实用/好,0.359705019702
114,291427533,事后服务人员打过几个电话确认是否有去领,销售人员售后跟踪服务好/到位,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员售后跟踪服务好/到位,0.292126963354
115,291431540,服务比较好，简单明了。公司使用的是同一个号，同一个服务人员，感觉很舒服，沟通也很方便,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,服务态度好（未具体说明）,0.33952435951
116,291450612,理赔的速度比较快,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,0.275290744754
117,291450612,从打电话报案到现速度比较满意,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,理赔电话优先接入（通过电话报案比较快）,0.509965482548
118,291450612,服务人员挺好：比较热情，比较方便,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,0.10462471296
119,291630089,客户称还说可以，1、服务态度可以：有事情给公司打电话，来的快,业务等待时间短/到现场快,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,坐席服务态度好（接线员和回访专员）,0.173218140745
120,291630089,1、售后可以,销售人员售后跟踪服务好/到位,销售人员售后跟踪服务好/到位,销售人员服务态度好（热情/耐心/积极/坚持）,服务好/态度好（未具体说明）/售后服务好,0.507846792245
121,291630089,赔款快,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.142214384144
122,291631474,客户表示服务比较好，买过保险后，各项服务都比较好：各方面都比较好，之前买过车险，碰过一次，客户描述不出具体的了,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,销售人员/业务员服务好/销售人员很勤快（未注明）,0.34282354693
123,291634171,1服务挺好,服务态度好（未具体说明）,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.0737578248891
124,291634171,介绍各方面买保险，怎么赔偿理赔 2产品介绍很不错,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,0.859073428485
125,291636543,没有使用过不知道,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,0.507462034078
126,291636554,服务好，都还可以,服务态度好（未具体说明）,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.132976792335
127,291636558,每方面都很好,都好/都满意/差不多,都好/都满意/差不多,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.073812307216
128,291636558,理赔比较快,理赔整体时长合理,理赔整体时长合理,工时标准合理充分（赔付快/理赔到账快）,理赔整体时长合理,0.173068952766
129,291636569,信任平安:信誉度好,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,0.513818674081
130,291636569,平时客服做得比较到位,销售人员服务态度好（热情/耐心/积极/坚持）,坐席服务态度好（接线员和回访专员）,销售人员服务态度好（热情/耐心/积极/坚持）,坐席服务态度好（接线员和回访专员）,0.15712262393
131,291636569,公司蛮大,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,0.24796962182
132,291636570,口碑，信誉度高,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,0.618792978761
133,291636570,服务接待服务,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.18762303858
134,291636570,介绍产品方面,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,销售人员业务熟练（介绍的详细）,0.255423638187
135,291636570,出险及时,查勘员业务响应时间快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,0.120573387171
136,291636573,"服务比较好,理赔服务得比较好",理赔整体服务好,理赔整体时长合理,理赔整体时长合理,理赔整体服务好,0.260256014706
137,291636573,信任度100%,信誉/口碑好/信任公司/一直买平安,无明确原因/没有,信誉/口碑好/信任公司/一直买平安,信誉/口碑好/信任公司/一直买平安,0.0408762198276
138,291636573,"平安公司很大,是说一不二的",规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,规模/大公司，有实力（涉及领域广）,0.5829184048
139,291636573,"各方面都可以,入了保险后各方面都很好",都好/都满意/差不多,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.498770607083
